reference_source,n_instances,AUC_5y,C_5y,median_confirmed_lag_y,detection_rate_of_latent_stage2
30d_echo,4325,0.9331682009582593,0.9294771034818029,1.4515501518783394,0.22967884828349944
model_size_table,1926,0.9106498099662164,0.8999390908649538,1.2899999999999991,0.2777242044358727
