endpoint,cif_5y,cif_8y,cif_10y
BVF (confirmed severe SVD or reintervention),0.047141813561892565,0.09766471449909775,0.1476289513591871
any reintervention,0.040728906880612405,0.08794941405939256,0.13245873560829388
